index,source,description,material,unit,rate,cci,decision,reason
932,PA,Ground floor to 33rd floor,plaster,m2,532.0,2235.2941,REMOVE,R1_outlier (IQR flag from Part 2)
965,PA,Providing and fixing at parking floor to floor expansion joint Kantaflex model n,aluminium,m,6340.0,950.6673,REMOVE,R1_outlier (IQR flag from Part 2)
973,PA,Supplying and installing MS fabricated ramp drain grating using 60mm dia. M.S pi,steel,m,5738.0,3336.0465,REMOVE,R1_outlier (IQR flag from Part 2)
977,PA,Providing  and  Constructing  of  Solid  Cement  Concrete  Block  Masonry  Work ,brick,m2,1255.0,5892.0188,REMOVE,R1_outlier (IQR flag from Part 2)
978,PA,Providing  and  Constructing  of  Solid  Cement  Concrete  Block  Masonry  Work ,brick,m2,1073.0,5037.5587,REMOVE,R1_outlier (IQR flag from Part 2)
979,PA,Providing  and  Constructing  of  Solid  Cement  Concrete  Block  Masonry  Work ,brick,m2,1045.0,4906.1033,REMOVE,R1_outlier (IQR flag from Part 2)
980,PA,Brick Masonry: Providing & constructing brick masonry in cement mortar 1:6 using,brick,m3,7054.0,33117.3709,REMOVE,R1_outlier (IQR flag from Part 2)
982,PA,Size Stone Masonry: Providing and constructing Size stone masonry in CM 1:4 usin,mortar,m3,5006.0,24067.3077,REMOVE,R1_outlier (IQR flag from Part 2)
983,PA,"Plastering internal surfaces of walls, beam above wall, brick fins, brick pillar",brick,m2,436.0,2046.9484,REMOVE,R1_outlier (IQR flag from Part 2)
984,PA,Providing & application of one coat of Gypsum plaster - Buildon or equivalent ov,plaster,m2,320.0,1344.5378,REMOVE,R1_outlier (IQR flag from Part 2)
990,PA,"Providing  & applying rough plastering  in CM 1:6, 12mm thick for walls, fixing ",plaster,m2,350.0,1470.5882,REMOVE,R1_outlier (IQR flag from Part 2)
993,PA,"Providing and fixing of 6mm thick annealed, premium GRIHA rated lacquered glass ",concrete,m2,5333.0,3119.8081,REMOVE,R1_outlier (IQR flag from Part 2)
